fixture_id,event_time,team_id,event_type,detailed_type,main_player_id,secondary_player_id
1208127,20,40,Goal,Normal Goal,51617,306
1208127,25,40,subst,Substitution 1,180317,283
1208127,34,66,Card,Yellow Card,19170,
1208127,45,66,subst,Substitution 1,19191,19192
1208127,45,66,Card,Yellow Card,2926,
1208021,18,33,Card,Yellow Card,19220,
1208021,25,36,Card,Yellow Card,152967,
1208021,40,33,Card,Yellow Card,2935,
1208021,61,33,subst,Substitution 1,157997,284324
1208021,64,36,subst,Substitution 1,1161,19025
1208021,70,36,Card,Yellow Card,899,
1208021,73,36,Card,Yellow Card,19025,
1208021,78,36,subst,Substitution 2,195106,2887
1208021,81,33,subst,Substitution 3,545,532
1208021,84,33,subst,Substitution 5,284322,903
1208021,87,33,Goal,Normal Goal,70100,284324
1208021,90,36,subst,Substitution 4,2823,191971
1208022,6,57,Card,Yellow Card,17714,
1208022,13,57,Card,Yellow Card,284428,
1208022,24,57,Card,Yellow Card,20089,
1208022,46,40,subst,Substitution 1,158698,1145
1208022,57,57,subst,Substitution 1,20089,18823
1208022,60,40,Goal,Normal Goal,2678,306
1208022,65,57,subst,Substitution 2,2752,18397
1208022,65,40,Goal,Normal Goal,306,
1208022,74,57,subst,Substitution 4,19182,17579
1208022,77,40,subst,Substitution 2,283,180317
1208022,79,40,subst,Substitution 3,289,1600
1208022,90,40,Card,Yellow Card,247,
1208025,9,34,Card,Yellow Card,284492,
1208025,28,34,Card,Red Card,2806,
1208025,28,41,Card,Yellow Card,19485,
1208025,30,34,subst,Substitution 1,19163,2855
1208025,45,41,Card,Yellow Card,18940,
1208025,45,34,Goal,Normal Goal,723,2864
1208025,46,41,subst,Substitution 1,32887,278085
1208025,70,34,subst,Substitution 2,138787,18778
1208025,70,41,subst,Substitution 2,19825,304317
1208025,71,41,subst,Substitution 3,19485,137302
1208025,73,41,Card,Yellow Card,144729,
1208025,74,34,Card,Yellow Card,18961,
1208025,81,41,subst,Substitution 4,2999,334035
1208025,90,41,Card,Yellow Card,278085,
1208023,23,39,Card,Yellow Card,195103,
1208023,25,42,Goal,Normal Goal,978,1460
1208023,38,39,Card,Yellow Card,41606,
1208023,57,39,subst,Substitution 1,20665,1165
1208023,60,42,Card,Yellow Card,1460,
1208023,69,42,subst,Substitution 1,641,38746
1208023,74,42,Goal,Normal Goal,1460,978
1208023,75,39,subst,Substitution 2,282770,1605
1208023,80,42,subst,Substitution 2,1460,1946
1208023,84,39,subst,Substitution 3,21138,19147
1208023,85,42,subst,Substitution 3,2937,643
1208023,88,42,Card,Yellow Card,643,
1208024,25,51,Goal,Normal Goal,106835,383685
1208024,31,51,Card,Yellow Card,296,
1208024,45,51,subst,Substitution 1,383685,301771
1208024,48,45,Var,Penalty cancelled,18766,
1208024,56,51,Goal,Normal Goal,1469,92993
1208024,63,45,subst,Substitution 1,18805,18592
1208024,66,45,Card,Red Card,894,
1208024,76,45,subst,Substitution 2,18766,125743
1208024,76,51,subst,Substitution 2,18963,19265
